kernel,distributeCollapse1,distributeCollapse2,distributeCollapse3,parallelLoopID1,parallelLoopID2,parallelLoopID3,parallelLoopID4,forCollapse1,forCollapse2,forCollapse3,forCollapse4,Static,Dynamic,Guided,loop1,loop2,loop3,loop4,varDecl,refExpr,intLit,floatLit,memTo,memFrom,memAlloc,memDelete,addSubInt,addSubFloat,mulInt,mulFloat,divInt,divFloat,logicalInt,logicalFloat,remInt,assInt,assFloat,runtime
wilson_dslash_kernel_parPos2_distCol1_parCol1_static,1,0,0,1,0,0,0,1,0,0,0,1,0,0,16,16,16,16,254225,63676960,34517809,0,0,0,0,0,2413088,1608271,0,2654208,6389760,0,635152,0,4096,0,32768,2845111
wilson_dslash_kernel_parPos2_distCol1_parCol1_static_memcpy,1,0,0,1,0,0,0,1,0,0,0,1,0,0,16,16,16,16,254225,63676960,34517809,0,5369736,5369736,0,0,2413088,1608271,0,2654208,6389760,0,635152,0,4096,0,32768,3220596
wilson_dslash_kernel_parPos2_distCol1_parCol1_dynamic,1,0,0,1,0,0,0,1,0,0,0,0,1,0,16,16,16,16,254225,63676960,34517809,0,0,0,0,0,2413088,1608271,0,2654208,6389760,0,635152,0,4096,0,32768,1469147
wilson_dslash_kernel_parPos2_distCol1_parCol1_dynamic_memcpy,1,0,0,1,0,0,0,1,0,0,0,0,1,0,16,16,16,16,254225,63676960,34517809,0,5369736,5369736,0,0,2413088,1608271,0,2654208,6389760,0,635152,0,4096,0,32768,1918014
wilson_dslash_kernel_parPos2_distCol1_parCol1_guided,1,0,0,1,0,0,0,1,0,0,0,0,0,1,16,16,16,16,254225,63676960,34517809,0,0,0,0,0,2413088,1608271,0,2654208,6389760,0,635152,0,4096,0,32768,1471764
wilson_dslash_kernel_parPos2_distCol1_parCol1_guided_memcpy,1,0,0,1,0,0,0,1,0,0,0,0,0,1,16,16,16,16,254225,63676960,34517809,0,5369736,5369736,0,0,2413088,1608271,0,2654208,6389760,0,635152,0,4096,0,32768,1852538
wilson_dslash_kernel_parPos2_distCol1_parCol2_static,1,0,0,1,0,0,0,0,1,0,0,1,0,0,16,16,16,16,15889,3979808,2157361,0,0,0,0,0,150816,100515,0,165888,399360,0,39696,0,256,0,2048,341981
wilson_dslash_kernel_parPos2_distCol1_parCol2_static_memcpy,1,0,0,1,0,0,0,0,1,0,0,1,0,0,16,16,16,16,15889,3979808,2157361,0,5369736,5369736,0,0,150816,100515,0,165888,399360,0,39696,0,256,0,2048,697388
wilson_dslash_kernel_parPos2_distCol1_parCol2_dynamic,1,0,0,1,0,0,0,0,1,0,0,0,1,0,16,16,16,16,15889,3979808,2157361,0,0,0,0,0,150816,100515,0,165888,399360,0,39696,0,256,0,2048,100824
wilson_dslash_kernel_parPos2_distCol1_parCol2_dynamic_memcpy,1,0,0,1,0,0,0,0,1,0,0,0,1,0,16,16,16,16,15889,3979808,2157361,0,5369736,5369736,0,0,150816,100515,0,165888,399360,0,39696,0,256,0,2048,513929
wilson_dslash_kernel_parPos2_distCol1_parCol2_guided,1,0,0,1,0,0,0,0,1,0,0,0,0,1,16,16,16,16,15889,3979808,2157361,0,0,0,0,0,150816,100515,0,165888,399360,0,39696,0,256,0,2048,98923
wilson_dslash_kernel_parPos2_distCol1_parCol2_guided_memcpy,1,0,0,1,0,0,0,0,1,0,0,0,0,1,16,16,16,16,15889,3979808,2157361,0,5369736,5369736,0,0,150816,100515,0,165888,399360,0,39696,0,256,0,2048,459730
wilson_dslash_kernel_parPos2_distCol1_parCol3_static,1,0,0,1,0,0,0,0,0,1,0,1,0,0,16,16,16,16,993,248736,134833,0,0,0,0,0,9424,6280,0,10368,24960,0,2480,0,16,0,128,26569
wilson_dslash_kernel_parPos2_distCol1_parCol3_static_memcpy,1,0,0,1,0,0,0,0,0,1,0,1,0,0,16,16,16,16,993,248736,134833,0,5369736,5369736,0,0,9424,6280,0,10368,24960,0,2480,0,16,0,128,433701
wilson_dslash_kernel_parPos2_distCol1_parCol3_dynamic,1,0,0,1,0,0,0,0,0,1,0,0,1,0,16,16,16,16,993,248736,134833,0,0,0,0,0,9424,6280,0,10368,24960,0,2480,0,16,0,128,12807
wilson_dslash_kernel_parPos2_distCol1_parCol3_dynamic_memcpy,1,0,0,1,0,0,0,0,0,1,0,0,1,0,16,16,16,16,993,248736,134833,0,5369736,5369736,0,0,9424,6280,0,10368,24960,0,2480,0,16,0,128,392965
wilson_dslash_kernel_parPos2_distCol1_parCol3_guided,1,0,0,1,0,0,0,0,0,1,0,0,0,1,16,16,16,16,993,248736,134833,0,0,0,0,0,9424,6280,0,10368,24960,0,2480,0,16,0,128,13299
wilson_dslash_kernel_parPos2_distCol1_parCol3_guided_memcpy,1,0,0,1,0,0,0,0,0,1,0,0,0,1,16,16,16,16,993,248736,134833,0,5369736,5369736,0,0,9424,6280,0,10368,24960,0,2480,0,16,0,128,383461
wilson_dslash_kernel_parPos2_distCol1_parCol4_static,1,0,0,1,0,0,0,0,0,0,1,1,0,0,16,16,16,16,62,15544,8425,0,0,0,0,0,587,391,0,648,1560,0,154,0,1,0,8,15883
wilson_dslash_kernel_parPos2_distCol1_parCol4_static_memcpy,1,0,0,1,0,0,0,0,0,0,1,1,0,0,16,16,16,16,62,15544,8425,0,5369736,5369736,0,0,587,391,0,648,1560,0,154,0,1,0,8,430300
wilson_dslash_kernel_parPos2_distCol1_parCol4_dynamic,1,0,0,1,0,0,0,0,0,0,1,0,1,0,16,16,16,16,62,15544,8425,0,0,0,0,0,587,391,0,648,1560,0,154,0,1,0,8,8484
wilson_dslash_kernel_parPos2_distCol1_parCol4_dynamic_memcpy,1,0,0,1,0,0,0,0,0,0,1,0,1,0,16,16,16,16,62,15544,8425,0,5369736,5369736,0,0,587,391,0,648,1560,0,154,0,1,0,8,408038
wilson_dslash_kernel_parPos2_distCol1_parCol4_guided,1,0,0,1,0,0,0,0,0,0,1,0,0,1,16,16,16,16,62,15544,8425,0,0,0,0,0,587,391,0,648,1560,0,154,0,1,0,8,8461
wilson_dslash_kernel_parPos2_distCol1_parCol4_guided_memcpy,1,0,0,1,0,0,0,0,0,0,1,0,0,1,16,16,16,16,62,15544,8425,0,5369736,5369736,0,0,587,391,0,648,1560,0,154,0,1,0,8,383314
wilson_dslash_kernel_parPos3_distCol1_parCol1_static,1,0,0,0,1,0,0,1,0,0,0,1,0,0,16,16,16,16,254225,63742496,34517809,0,0,0,0,0,2413088,1608271,0,2654208,6389760,0,635152,0,4096,0,32768,185084
wilson_dslash_kernel_parPos3_distCol1_parCol1_static_memcpy,1,0,0,0,1,0,0,1,0,0,0,1,0,0,16,16,16,16,254225,63742496,34517809,0,5369736,5369736,0,0,2413088,1608271,0,2654208,6389760,0,635152,0,4096,0,32768,606043
wilson_dslash_kernel_parPos3_distCol1_parCol1_dynamic,1,0,0,0,1,0,0,1,0,0,0,1,0,0,16,16,16,16,254225,63742496,34517809,0,0,0,0,0,2413088,1608271,0,2654208,6389760,0,635152,0,4096,0,32768,97890
wilson_dslash_kernel_parPos3_distCol1_parCol1_dynamic_memcpy,1,0,0,0,1,0,0,1,0,0,0,1,0,0,16,16,16,16,254225,63742496,34517809,0,5369736,5369736,0,0,2413088,1608271,0,2654208,6389760,0,635152,0,4096,0,32768,513033
wilson_dslash_kernel_parPos3_distCol1_parCol1_guided,1,0,0,0,1,0,0,1,0,0,0,1,0,0,16,16,16,16,254225,63742496,34517809,0,0,0,0,0,2413088,1608271,0,2654208,6389760,0,635152,0,4096,0,32768,97032
wilson_dslash_kernel_parPos3_distCol1_parCol1_guided_memcpy,1,0,0,0,1,0,0,1,0,0,0,1,0,0,16,16,16,16,254225,63742496,34517809,0,5369736,5369736,0,0,2413088,1608271,0,2654208,6389760,0,635152,0,4096,0,32768,452480
wilson_dslash_kernel_parPos3_distCol1_parCol2_static,1,0,0,0,1,0,0,1,0,0,0,1,0,0,16,16,16,16,254225,63742496,34517810,0,0,0,0,0,2413088,1608271,0,2654208,6389760,0,635152,0,4096,0,32768,25983
wilson_dslash_kernel_parPos3_distCol1_parCol2_static_memcpy,1,0,0,0,1,0,0,1,0,0,0,1,0,0,16,16,16,16,254225,63742496,34517810,0,5369736,5369736,0,0,2413088,1608271,0,2654208,6389760,0,635152,0,4096,0,32768,427039
wilson_dslash_kernel_parPos3_distCol1_parCol2_dynamic,1,0,0,0,1,0,0,1,0,0,0,1,0,0,16,16,16,16,254225,63742496,34517810,0,0,0,0,0,2413088,1608271,0,2654208,6389760,0,635152,0,4096,0,32768,12390
wilson_dslash_kernel_parPos3_distCol1_parCol2_dynamic_memcpy,1,0,0,0,1,0,0,1,0,0,0,1,0,0,16,16,16,16,254225,63742496,34517810,0,5369736,5369736,0,0,2413088,1608271,0,2654208,6389760,0,635152,0,4096,0,32768,416679
wilson_dslash_kernel_parPos3_distCol1_parCol2_guided,1,0,0,0,1,0,0,1,0,0,0,1,0,0,16,16,16,16,254225,63742496,34517810,0,0,0,0,0,2413088,1608271,0,2654208,6389760,0,635152,0,4096,0,32768,12162
wilson_dslash_kernel_parPos3_distCol1_parCol2_guided_memcpy,1,0,0,0,1,0,0,1,0,0,0,1,0,0,16,16,16,16,254225,63742496,34517810,0,5369736,5369736,0,0,2413088,1608271,0,2654208,6389760,0,635152,0,4096,0,32768,411740
wilson_dslash_kernel_parPos3_distCol1_parCol3_static,1,0,0,0,1,0,0,1,0,0,0,1,0,0,16,16,16,16,254225,63742496,34517810,0,0,0,0,0,2413088,1608271,0,2654208,6389760,0,635152,0,4096,0,32768,26090
wilson_dslash_kernel_parPos3_distCol1_parCol3_static_memcpy,1,0,0,0,1,0,0,1,0,0,0,1,0,0,16,16,16,16,254225,63742496,34517810,0,5369736,5369736,0,0,2413088,1608271,0,2654208,6389760,0,635152,0,4096,0,32768,448265
wilson_dslash_kernel_parPos3_distCol1_parCol3_dynamic,1,0,0,0,1,0,0,1,0,0,0,1,0,0,16,16,16,16,254225,63742496,34517810,0,0,0,0,0,2413088,1608271,0,2654208,6389760,0,635152,0,4096,0,32768,7331
wilson_dslash_kernel_parPos3_distCol1_parCol3_dynamic_memcpy,1,0,0,0,1,0,0,1,0,0,0,1,0,0,16,16,16,16,254225,63742496,34517810,0,5369736,5369736,0,0,2413088,1608271,0,2654208,6389760,0,635152,0,4096,0,32768,403879
wilson_dslash_kernel_parPos3_distCol1_parCol3_guided,1,0,0,0,1,0,0,1,0,0,0,1,0,0,16,16,16,16,254225,63742496,34517810,0,0,0,0,0,2413088,1608271,0,2654208,6389760,0,635152,0,4096,0,32768,6701
wilson_dslash_kernel_parPos3_distCol1_parCol3_guided_memcpy,1,0,0,0,1,0,0,1,0,0,0,1,0,0,16,16,16,16,254225,63742496,34517810,0,5369736,5369736,0,0,2413088,1608271,0,2654208,6389760,0,635152,0,4096,0,32768,416270
wilson_dslash_kernel_parPos4_distCol1_parCol1_static,1,0,0,0,0,1,0,1,0,0,0,1,0,0,16,16,16,16,254225,63746592,34517809,0,0,0,0,0,2413088,1608271,0,2654208,6389760,0,635152,0,4096,0,32768,180327
wilson_dslash_kernel_parPos4_distCol1_parCol1_static_memcpy,1,0,0,0,0,1,0,1,0,0,0,1,0,0,16,16,16,16,254225,63746592,34517809,0,5369736,5369736,0,0,2413088,1608271,0,2654208,6389760,0,635152,0,4096,0,32768,603252
wilson_dslash_kernel_parPos4_distCol1_parCol1_dynamic,1,0,0,0,0,1,0,1,0,0,0,1,0,0,16,16,16,16,254225,63746592,34517809,0,0,0,0,0,2413088,1608271,0,2654208,6389760,0,635152,0,4096,0,32768,95715
wilson_dslash_kernel_parPos4_distCol1_parCol1_dynamic_memcpy,1,0,0,0,0,1,0,1,0,0,0,1,0,0,16,16,16,16,254225,63746592,34517809,0,5369736,5369736,0,0,2413088,1608271,0,2654208,6389760,0,635152,0,4096,0,32768,498553
wilson_dslash_kernel_parPos4_distCol1_parCol1_guided,1,0,0,0,0,1,0,1,0,0,0,1,0,0,16,16,16,16,254225,63746592,34517809,0,0,0,0,0,2413088,1608271,0,2654208,6389760,0,635152,0,4096,0,32768,95932
wilson_dslash_kernel_parPos4_distCol1_parCol1_guided_memcpy,1,0,0,0,0,1,0,1,0,0,0,1,0,0,16,16,16,16,254225,63746592,34517809,0,5369736,5369736,0,0,2413088,1608271,0,2654208,6389760,0,635152,0,4096,0,32768,500927
wilson_dslash_kernel_parPos4_distCol1_parCol2_static,1,0,0,0,0,1,0,1,0,0,0,1,0,0,16,16,16,16,254225,63746592,34517825,0,0,0,0,0,2413088,1608271,0,2654208,6389760,0,635152,0,4096,0,32768,27189
wilson_dslash_kernel_parPos4_distCol1_parCol2_static_memcpy,1,0,0,0,0,1,0,1,0,0,0,1,0,0,16,16,16,16,254225,63746592,34517825,0,5369736,5369736,0,0,2413088,1608271,0,2654208,6389760,0,635152,0,4096,0,32768,439112
wilson_dslash_kernel_parPos4_distCol1_parCol2_dynamic,1,0,0,0,0,1,0,1,0,0,0,1,0,0,16,16,16,16,254225,63746592,34517825,0,0,0,0,0,2413088,1608271,0,2654208,6389760,0,635152,0,4096,0,32768,12840
wilson_dslash_kernel_parPos4_distCol1_parCol2_dynamic_memcpy,1,0,0,0,0,1,0,1,0,0,0,1,0,0,16,16,16,16,254225,63746592,34517825,0,5369736,5369736,0,0,2413088,1608271,0,2654208,6389760,0,635152,0,4096,0,32768,428745
wilson_dslash_kernel_parPos4_distCol1_parCol2_guided,1,0,0,0,0,1,0,1,0,0,0,1,0,0,16,16,16,16,254225,63746592,34517825,0,0,0,0,0,2413088,1608271,0,2654208,6389760,0,635152,0,4096,0,32768,12515
wilson_dslash_kernel_parPos4_distCol1_parCol2_guided_memcpy,1,0,0,0,0,1,0,1,0,0,0,1,0,0,16,16,16,16,254225,63746592,34517825,0,5369736,5369736,0,0,2413088,1608271,0,2654208,6389760,0,635152,0,4096,0,32768,429964
wilson_dslash_kernel_parPos4_distCol2_parCol1_static,0,1,0,0,0,1,0,0,1,0,0,1,0,0,16,16,16,16,15889,3984160,2157361,0,0,0,0,0,150816,100515,0,165888,399360,0,39696,0,256,0,2048,60048
wilson_dslash_kernel_parPos4_distCol2_parCol1_static_memcpy,0,1,0,0,0,1,0,0,1,0,0,1,0,0,16,16,16,16,15889,3984160,2157361,0,5369736,5369736,0,0,150816,100515,0,165888,399360,0,39696,0,256,0,2048,424665
wilson_dslash_kernel_parPos4_distCol2_parCol1_dynamic,0,1,0,0,0,1,0,0,1,0,0,1,0,0,16,16,16,16,15889,3984160,2157361,0,0,0,0,0,150816,100515,0,165888,399360,0,39696,0,256,0,2048,34894
wilson_dslash_kernel_parPos4_distCol2_parCol1_dynamic_memcpy,0,1,0,0,0,1,0,0,1,0,0,1,0,0,16,16,16,16,15889,3984160,2157361,0,5369736,5369736,0,0,150816,100515,0,165888,399360,0,39696,0,256,0,2048,425456
wilson_dslash_kernel_parPos4_distCol2_parCol1_guided,0,1,0,0,0,1,0,0,1,0,0,1,0,0,16,16,16,16,15889,3984160,2157361,0,0,0,0,0,150816,100515,0,165888,399360,0,39696,0,256,0,2048,34890
wilson_dslash_kernel_parPos4_distCol2_parCol1_guided_memcpy,0,1,0,0,0,1,0,0,1,0,0,1,0,0,16,16,16,16,15889,3984160,2157361,0,5369736,5369736,0,0,150816,100515,0,165888,399360,0,39696,0,256,0,2048,358421
wilson_dslash_kernel_parPos4_distCol2_parCol2_static,0,1,0,0,0,1,0,0,1,0,0,1,0,0,16,16,16,16,15889,3984160,2157362,0,0,0,0,0,150816,100515,0,165888,399360,0,39696,0,256,0,2048,14846
wilson_dslash_kernel_parPos4_distCol2_parCol2_static_memcpy,0,1,0,0,0,1,0,0,1,0,0,1,0,0,16,16,16,16,15889,3984160,2157362,0,5369736,5369736,0,0,150816,100515,0,165888,399360,0,39696,0,256,0,2048,386379
wilson_dslash_kernel_parPos4_distCol2_parCol2_dynamic,0,1,0,0,0,1,0,0,1,0,0,1,0,0,16,16,16,16,15889,3984160,2157362,0,0,0,0,0,150816,100515,0,165888,399360,0,39696,0,256,0,2048,8652
wilson_dslash_kernel_parPos4_distCol2_parCol2_dynamic_memcpy,0,1,0,0,0,1,0,0,1,0,0,1,0,0,16,16,16,16,15889,3984160,2157362,0,5369736,5369736,0,0,150816,100515,0,165888,399360,0,39696,0,256,0,2048,389604
wilson_dslash_kernel_parPos4_distCol2_parCol2_guided,0,1,0,0,0,1,0,0,1,0,0,1,0,0,16,16,16,16,15889,3984160,2157362,0,0,0,0,0,150816,100515,0,165888,399360,0,39696,0,256,0,2048,8745
wilson_dslash_kernel_parPos4_distCol2_parCol2_guided_memcpy,0,1,0,0,0,1,0,0,1,0,0,1,0,0,16,16,16,16,15889,3984160,2157362,0,5369736,5369736,0,0,150816,100515,0,165888,399360,0,39696,0,256,0,2048,419346
wilson_dslash_kernel_parPos5_distCol1_parCol1_static,1,0,0,0,0,0,1,1,0,0,0,1,0,0,16,16,16,16,254225,63750688,34517809,0,0,0,0,0,2413088,1608271,0,2654208,6389760,0,635152,0,4096,0,32768,180414
wilson_dslash_kernel_parPos5_distCol1_parCol1_static_memcpy,1,0,0,0,0,0,1,1,0,0,0,1,0,0,16,16,16,16,254225,63750688,34517809,0,5369736,5369736,0,0,2413088,1608271,0,2654208,6389760,0,635152,0,4096,0,32768,590441
wilson_dslash_kernel_parPos5_distCol1_parCol1_dynamic,1,0,0,0,0,0,1,1,0,0,0,1,0,0,16,16,16,16,254225,63750688,34517809,0,0,0,0,0,2413088,1608271,0,2654208,6389760,0,635152,0,4096,0,32768,98722
wilson_dslash_kernel_parPos5_distCol1_parCol1_dynamic_memcpy,1,0,0,0,0,0,1,1,0,0,0,1,0,0,16,16,16,16,254225,63750688,34517809,0,5369736,5369736,0,0,2413088,1608271,0,2654208,6389760,0,635152,0,4096,0,32768,523536
wilson_dslash_kernel_parPos5_distCol1_parCol1_guided,1,0,0,0,0,0,1,1,0,0,0,1,0,0,16,16,16,16,254225,63750688,34517809,0,0,0,0,0,2413088,1608271,0,2654208,6389760,0,635152,0,4096,0,32768,99028
wilson_dslash_kernel_parPos5_distCol1_parCol1_guided_memcpy,1,0,0,0,0,0,1,1,0,0,0,1,0,0,16,16,16,16,254225,63750688,34517809,0,5369736,5369736,0,0,2413088,1608271,0,2654208,6389760,0,635152,0,4096,0,32768,506227
wilson_dslash_kernel_parPos5_distCol2_parCol1_static,0,1,0,0,0,0,1,0,1,0,0,1,0,0,16,16,16,16,15889,3984416,2157361,0,0,0,0,0,150816,100515,0,165888,399360,0,39696,0,256,0,2048,61742
wilson_dslash_kernel_parPos5_distCol2_parCol1_static_memcpy,0,1,0,0,0,0,1,0,1,0,0,1,0,0,16,16,16,16,15889,3984416,2157361,0,5369736,5369736,0,0,150816,100515,0,165888,399360,0,39696,0,256,0,2048,479216
wilson_dslash_kernel_parPos5_distCol2_parCol1_dynamic,0,1,0,0,0,0,1,0,1,0,0,1,0,0,16,16,16,16,15889,3984416,2157361,0,0,0,0,0,150816,100515,0,165888,399360,0,39696,0,256,0,2048,36553
wilson_dslash_kernel_parPos5_distCol2_parCol1_dynamic_memcpy,0,1,0,0,0,0,1,0,1,0,0,1,0,0,16,16,16,16,15889,3984416,2157361,0,5369736,5369736,0,0,150816,100515,0,165888,399360,0,39696,0,256,0,2048,462415
wilson_dslash_kernel_parPos5_distCol2_parCol1_guided,0,1,0,0,0,0,1,0,1,0,0,1,0,0,16,16,16,16,15889,3984416,2157361,0,0,0,0,0,150816,100515,0,165888,399360,0,39696,0,256,0,2048,36248
wilson_dslash_kernel_parPos5_distCol2_parCol1_guided_memcpy,0,1,0,0,0,0,1,0,1,0,0,1,0,0,16,16,16,16,15889,3984416,2157361,0,5369736,5369736,0,0,150816,100515,0,165888,399360,0,39696,0,256,0,2048,413981
wilson_dslash_kernel_parPos5_distCol3_parCol1_static,0,0,1,0,0,0,1,0,0,1,0,1,0,0,16,16,16,16,993,249024,134833,0,0,0,0,0,9424,6280,0,10368,24960,0,2480,0,16,0,128,54758
wilson_dslash_kernel_parPos5_distCol3_parCol1_static_memcpy,0,0,1,0,0,0,1,0,0,1,0,1,0,0,16,16,16,16,993,249024,134833,0,5369736,5369736,0,0,9424,6280,0,10368,24960,0,2480,0,16,0,128,471656
wilson_dslash_kernel_parPos5_distCol3_parCol1_dynamic,0,0,1,0,0,0,1,0,0,1,0,1,0,0,16,16,16,16,993,249024,134833,0,0,0,0,0,9424,6280,0,10368,24960,0,2480,0,16,0,128,33267
wilson_dslash_kernel_parPos5_distCol3_parCol1_dynamic_memcpy,0,0,1,0,0,0,1,0,0,1,0,1,0,0,16,16,16,16,993,249024,134833,0,5369736,5369736,0,0,9424,6280,0,10368,24960,0,2480,0,16,0,128,362435
wilson_dslash_kernel_parPos5_distCol3_parCol1_guided,0,0,1,0,0,0,1,0,0,1,0,1,0,0,16,16,16,16,993,249024,134833,0,0,0,0,0,9424,6280,0,10368,24960,0,2480,0,16,0,128,33494
wilson_dslash_kernel_parPos5_distCol3_parCol1_guided_memcpy,0,0,1,0,0,0,1,0,0,1,0,1,0,0,16,16,16,16,993,249024,134833,0,5369736,5369736,0,0,9424,6280,0,10368,24960,0,2480,0,16,0,128,460460
wilson_dslash_kernel_parPos2_distCol1_parCol1_static,1,0,0,1,0,0,0,1,0,0,0,1,0,0,16,16,16,32,254225,63676960,34517809,0,0,0,0,0,2413088,1608271,0,2654208,6389760,0,635152,0,4096,0,32768,2945914
wilson_dslash_kernel_parPos2_distCol1_parCol1_static_memcpy,1,0,0,1,0,0,0,1,0,0,0,1,0,0,16,16,16,32,254225,63676960,34517809,0,10396680,10396680,0,0,2413088,1608271,0,2654208,6389760,0,635152,0,4096,0,32768,3303155
wilson_dslash_kernel_parPos2_distCol1_parCol1_dynamic,1,0,0,1,0,0,0,1,0,0,0,0,1,0,16,16,16,32,254225,63676960,34517809,0,0,0,0,0,2413088,1608271,0,2654208,6389760,0,635152,0,4096,0,32768,1494561
wilson_dslash_kernel_parPos2_distCol1_parCol1_dynamic_memcpy,1,0,0,1,0,0,0,1,0,0,0,0,1,0,16,16,16,32,254225,63676960,34517809,0,10396680,10396680,0,0,2413088,1608271,0,2654208,6389760,0,635152,0,4096,0,32768,1824017
wilson_dslash_kernel_parPos2_distCol1_parCol1_guided,1,0,0,1,0,0,0,1,0,0,0,0,0,1,16,16,16,32,254225,63676960,34517809,0,0,0,0,0,2413088,1608271,0,2654208,6389760,0,635152,0,4096,0,32768,1492825
wilson_dslash_kernel_parPos2_distCol1_parCol1_guided_memcpy,1,0,0,1,0,0,0,1,0,0,0,0,0,1,16,16,16,32,254225,63676960,34517809,0,10396680,10396680,0,0,2413088,1608271,0,2654208,6389760,0,635152,0,4096,0,32768,1823724
wilson_dslash_kernel_parPos2_distCol1_parCol2_static,1,0,0,1,0,0,0,0,1,0,0,1,0,0,16,16,16,32,15889,3979808,2157361,0,0,0,0,0,150816,100515,0,165888,399360,0,39696,0,256,0,2048,332154
wilson_dslash_kernel_parPos2_distCol1_parCol2_static_memcpy,1,0,0,1,0,0,0,0,1,0,0,1,0,0,16,16,16,32,15889,3979808,2157361,0,10396680,10396680,0,0,150816,100515,0,165888,399360,0,39696,0,256,0,2048,739819
wilson_dslash_kernel_parPos2_distCol1_parCol2_dynamic,1,0,0,1,0,0,0,0,1,0,0,0,1,0,16,16,16,32,15889,3979808,2157361,0,0,0,0,0,150816,100515,0,165888,399360,0,39696,0,256,0,2048,101755
wilson_dslash_kernel_parPos2_distCol1_parCol2_dynamic_memcpy,1,0,0,1,0,0,0,0,1,0,0,0,1,0,16,16,16,32,15889,3979808,2157361,0,10396680,10396680,0,0,150816,100515,0,165888,399360,0,39696,0,256,0,2048,509054
wilson_dslash_kernel_parPos2_distCol1_parCol2_guided,1,0,0,1,0,0,0,0,1,0,0,0,0,1,16,16,16,32,15889,3979808,2157361,0,0,0,0,0,150816,100515,0,165888,399360,0,39696,0,256,0,2048,101576
wilson_dslash_kernel_parPos2_distCol1_parCol2_guided_memcpy,1,0,0,1,0,0,0,0,1,0,0,0,0,1,16,16,16,32,15889,3979808,2157361,0,10396680,10396680,0,0,150816,100515,0,165888,399360,0,39696,0,256,0,2048,487249
