kernel,distributeCollapse1,distributeCollapse2,distributeCollapse3,parallelLoopID1,parallelLoopID2,parallelLoopID3,parallelLoopID4,forCollapse1,forCollapse2,forCollapse3,forCollapse4,Static,Dynamic,Guided,loop1,loop2,loop3,loop4,varDecl,refExpr,intLit,floatLit,memTo,memFrom,memAlloc,memDelete,addSubInt,addSubFloat,mulInt,mulFloat,divInt,divFloat,logicalInt,logicalFloat,remInt,assInt,assFloat,runtime
nvc_32_32_32_32_2_100_rtx_Variant_1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,32,32,32,32,2098234401,50124097600,8705345601,0,0,0,0,0,3775956000,2516582400,0,2516582400,0,0,5034247200,0,629145600,0,3460300800,13476
nvc_32_32_32_32_2_100_rtx_Variant_4,1,0,0,1,0,0,0,0,0,1,0,1,0,0,32,32,32,32,2098234401,50124097600,8705345601,0,0,0,0,0,3775956000,2516582400,0,2516582400,0,0,5034247200,0,629145600,0,3460300800,309940
nvc_32_32_32_32_2_100_rtx_Variant_7,1,0,0,1,0,0,0,0,1,0,0,1,0,0,32,32,32,32,2098234401,50124097600,8705345601,0,0,0,0,0,3775956000,2516582400,0,2516582400,0,0,5034247200,0,629145600,0,3460300800,282601
nvc_32_32_32_32_2_100_rtx_Variant_10,1,0,0,1,0,0,0,1,0,0,0,1,0,0,32,32,32,32,2098234401,50124097600,8705345601,0,0,0,0,0,3775956000,2516582400,0,2516582400,0,0,5034247200,0,629145600,0,3460300800,2536959
nvc_32_32_32_32_2_100_rtx_Variant_13,1,0,0,0,1,0,0,0,0,1,0,1,0,0,32,32,32,32,2098234401,50124097600,8705345601,0,0,0,0,0,3775956000,2516582400,0,2516582400,0,0,5034247200,0,629145600,0,3460300800,20175
nvc_32_32_32_32_2_100_rtx_Variant_16,1,0,0,0,1,0,0,0,1,0,0,1,0,0,32,32,32,32,2098234401,50124097600,8705345601,0,0,0,0,0,3775956000,2516582400,0,2516582400,0,0,5034247200,0,629145600,0,3460300800,355020
nvc_32_32_32_32_2_100_rtx_Variant_19,1,0,0,0,1,0,0,1,0,0,0,1,0,0,32,32,32,32,2098234401,50124097600,8705345601,0,0,0,0,0,3775956000,2516582400,0,2516582400,0,0,5034247200,0,629145600,0,3460300800,231642
nvc_32_32_32_32_2_100_rtx_Variant_22,1,0,0,0,0,1,0,0,1,0,0,1,0,0,32,32,32,32,2098234401,50124097600,8705345601,0,0,0,0,0,3775956000,2516582400,0,2516582400,0,0,5034247200,0,629145600,0,3460300800,19929
nvc_32_32_32_32_2_100_rtx_Variant_25,1,0,0,0,0,1,0,1,0,0,0,1,0,0,32,32,32,32,2098234401,50124097600,8705345601,0,0,0,0,0,3775956000,2516582400,0,2516582400,0,0,5034247200,0,629145600,0,3460300800,234708
nvc_32_32_32_32_2_100_rtx_Variant_28,1,0,0,0,0,0,1,1,0,0,0,1,0,0,32,32,32,32,2098234401,50124097600,8705345601,0,0,0,0,0,3775956000,2516582400,0,2516582400,0,0,5034247200,0,629145600,0,3460300800,77130
nvc_32_32_32_32_2_100_rtx_Variant_31,0,1,0,0,0,1,0,0,1,0,0,1,0,0,32,32,32,32,2098234401,50124097600,8705345601,0,0,0,0,0,3775956000,2516582400,0,2516582400,0,0,5034247200,0,629145600,0,3460300800,14207
nvc_32_32_32_32_2_100_rtx_Variant_34,0,1,0,0,0,1,0,1,0,0,0,1,0,0,32,32,32,32,2098234401,50124097600,8705345601,0,0,0,0,0,3775956000,2516582400,0,2516582400,0,0,5034247200,0,629145600,0,3460300800,165638
nvc_32_32_32_32_2_100_rtx_Variant_37,0,1,0,0,0,0,1,1,0,0,0,1,0,0,32,32,32,32,2098234401,50124097600,8705345601,0,0,0,0,0,3775956000,2516582400,0,2516582400,0,0,5034247200,0,629145600,0,3460300800,55255
nvc_32_32_32_32_2_100_rtx_Variant_40,0,0,1,0,0,0,1,1,0,0,0,1,0,0,32,32,32,32,2098234401,50124097600,8705345601,0,0,0,0,0,3775956000,2516582400,0,2516582400,0,0,5034247200,0,629145600,0,3460300800,53783
nvc_32_32_32_32_2_100_rtx_variant_43,1,0,0,1,0,0,0,0,0,0,1,1,0,0,32,32,32,32,2098234401,50124097600,8705345601,0,100663296,12582912,12582912,100663296,3775956000,2516582400,0,2516582400,0,0,5034247200,0,629145600,0,3460300800,1779
nvc_32_32_32_32_2_100_rtx_variant_46,1,0,0,1,0,0,0,0,0,1,0,1,0,0,32,32,32,32,2098234401,50124097600,8705345601,0,100663296,12582912,12582912,100663296,3775956000,2516582400,0,2516582400,0,0,5034247200,0,629145600,0,3460300800,11994
nvc_32_32_32_32_2_100_rtx_variant_49,1,0,0,1,0,0,0,0,1,0,0,1,0,0,32,32,32,32,2098234401,50124097600,8705345601,0,100663296,12582912,12582912,100663296,3775956000,2516582400,0,2516582400,0,0,5034247200,0,629145600,0,3460300800,99476
nvc_32_32_32_32_2_100_rtx_variant_52,1,0,0,1,0,0,0,1,0,0,0,1,0,0,32,32,32,32,2098234401,50124097600,8705345601,0,100663296,12582912,12582912,100663296,3775956000,2516582400,0,2516582400,0,0,5034247200,0,629145600,0,3460300800,423817
nvc_32_32_32_32_2_100_rtx_variant_55,1,0,0,0,1,0,0,0,0,1,0,1,0,0,32,32,32,32,2098234401,50124097600,8705345601,0,100663296,12582912,12582912,100663296,3775956000,2516582400,0,2516582400,0,0,5034247200,0,629145600,0,3460300800,13614
nvc_32_32_32_32_2_100_rtx_variant_58,1,0,0,0,1,0,0,0,1,0,0,1,0,0,32,32,32,32,2098234401,50124097600,8705345601,0,100663296,12582912,12582912,100663296,3775956000,2516582400,0,2516582400,0,0,5034247200,0,629145600,0,3460300800,97315
nvc_32_32_32_32_2_100_rtx_variant_61,1,0,0,0,1,0,0,1,0,0,0,1,0,0,32,32,32,32,2098234401,50124097600,8705345601,0,100663296,12582912,12582912,100663296,3775956000,2516582400,0,2516582400,0,0,5034247200,0,629145600,0,3460300800,134782
nvc_32_32_32_32_2_100_rtx_variant_64,1,0,0,0,0,1,0,0,1,0,0,1,0,0,32,32,32,32,2098234401,50124097600,8705345601,0,100663296,12582912,12582912,100663296,3775956000,2516582400,0,2516582400,0,0,5034247200,0,629145600,0,3460300800,13974
nvc_32_32_32_32_2_100_rtx_variant_67,1,0,0,0,0,1,0,1,0,0,0,1,0,0,32,32,32,32,2098234401,50124097600,8705345601,0,100663296,12582912,12582912,100663296,3775956000,2516582400,0,2516582400,0,0,5034247200,0,629145600,0,3460300800,134303
nvc_32_32_32_32_2_100_rtx_variant_70,1,0,0,0,0,0,1,1,0,0,0,1,0,0,32,32,32,32,2098234401,50124097600,8705345601,0,100663296,12582912,12582912,100663296,3775956000,2516582400,0,2516582400,0,0,5034247200,0,629145600,0,3460300800,68515
nvc_32_32_32_32_2_100_rtx_variant_73,0,1,0,0,0,1,0,0,1,0,0,1,0,0,32,32,32,32,2098234401,50124097600,8705345601,0,100663296,12582912,12582912,100663296,3775956000,2516582400,0,2516582400,0,0,5034247200,0,629145600,0,3460300800,1356
nvc_32_32_32_32_2_100_rtx_variant_76,0,1,0,0,0,1,0,1,0,0,0,1,0,0,32,32,32,32,2098234401,50124097600,8705345601,0,100663296,12582912,12582912,100663296,3775956000,2516582400,0,2516582400,0,0,5034247200,0,629145600,0,3460300800,8085
nvc_32_32_32_32_2_100_rtx_variant_79,0,1,0,0,0,0,1,1,0,0,0,1,0,0,32,32,32,32,2098234401,50124097600,8705345601,0,100663296,12582912,12582912,100663296,3775956000,2516582400,0,2516582400,0,0,5034247200,0,629145600,0,3460300800,3113
